Date,Tweets
2015-11-14,30226.0
2015-11-15,32216.0
2015-11-16,35757.0
2015-11-17,36957.0
2015-11-18,40387.0
2015-11-19,32915.0
2015-11-20,33652.0
2015-11-21,25295.0
2015-11-22,17983.0
2015-11-23,21268.0
2015-11-24,20427.0
2015-11-25,27288.0
2015-11-26,24681.0
2015-11-27,25861.0
2015-11-28,25749.0
2015-11-29,24219.0
2015-11-30,26261.0
2015-12-01,25143.0
2015-12-02,23887.0
2015-12-03,23460.0
2015-12-04,22066.0
2015-12-05,22531.0
2015-12-06,22728.0
2015-12-07,25413.0
2015-12-08,24716.0
2015-12-09,33862.0
2015-12-10,25232.0
2015-12-11,26210.0
2015-12-12,23062.0
2015-12-13,21459.0
2015-12-14,32070.0
2015-12-15,28842.0
2015-12-16,27652.0
2015-12-17,23729.0
2015-12-18,24189.0
2015-12-19,21372.0
2015-12-20,19855.0
2015-12-21,24803.0
2015-12-22,25707.0
2015-12-23,26011.0
2015-12-24,23679.0
2015-12-25,21240.0
2015-12-26,21795.0
2015-12-27,32284.0
2015-12-28,31890.0
2015-12-29,24417.0
2015-12-30,26654.0
2015-12-31,24012.0
2016-01-01,20122.0
2016-01-02,19715.0
2016-01-03,19638.0
2016-01-04,23308.0
2016-01-05,27207.0
2016-01-06,24615.0
2016-01-07,24700.0
2016-01-08,26040.0
2016-01-09,20585.0
2016-01-10,20755.0
2016-01-11,23867.0
2016-01-12,27110.0
2016-01-13,27094.0
2016-01-14,25568.0
2016-01-15,31035.0
2016-01-16,28097.0
2016-01-17,25408.0
2016-01-18,29308.0
2016-01-19,24617.0
2016-01-20,29720.0
2016-01-21,29595.0
2016-01-22,27533.0
2016-01-23,23029.0
2016-01-24,22635.0
2016-01-25,25172.0
2016-01-26,26057.0
2016-01-27,28379.0
2016-01-28,26070.0
2016-01-29,29331.0
2016-01-30,25049.0
2016-01-31,27728.0
2016-02-01,29309.0
2016-02-02,26458.0
2016-02-03,27023.0
2016-02-04,26103.0
2016-02-05,26621.0
2016-02-06,23929.0
2016-02-07,24021.0
2016-02-08,27363.0
2016-02-09,25751.0
2016-02-10,28230.0
2016-02-11,29630.0
2016-02-12,28064.0
2016-02-13,25543.0
2016-02-14,25283.0
2016-02-15,27181.0
2016-02-16,27923.0
2016-02-17,29153.0
